Player,G,Points per Game,Rebounds per Game,Assists per Game,Steals per Game,Turnovers per Game,Average Points per Game,Average Rebounds per Game,Average Assists per Game,Average Steals per Game,Average Turnovers per Game
Jalen Hood-Schifino,21.0,1.619047619047619,0.6190476190476191,0.38095238095238093,0.14285714285714285,0.42857142857142855,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Jarace Walker,33.0,3.6363636363636362,1.9090909090909092,1.2121212121212122,0.45454545454545453,0.5151515151515151,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Jett Howard,18.0,1.6111111111111112,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.16666666666666666,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Jordan Hawkins,67.0,7.82089552238806,2.208955223880597,1.044776119402985,0.2835820895522388,0.5970149253731343,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Julian Strawther,50.0,4.54,1.22,0.94,0.34,0.46,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Keyonte George,75.0,12.986666666666666,2.8133333333333335,4.426666666666667,0.48,2.506666666666667,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Kobe Brown,44.0,2.022727272727273,1.4090909090909092,0.5681818181818182,0.2727272727272727,0.20454545454545456,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Kobe Bufkin,17.0,4.764705882352941,1.9411764705882353,1.588235294117647,0.4117647058823529,0.5882352941176471,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Kris Murray,62.0,6.064516129032258,3.6129032258064515,1.2903225806451613,0.8548387096774194,0.8870967741935484,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Marcus Sasser,71.0,8.253521126760564,1.7605633802816902,3.323943661971831,0.6197183098591549,1.267605633802817,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Nick Smith Jr.,51.0,5.921568627450981,1.411764705882353,1.1568627450980393,0.19607843137254902,0.7647058823529411,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Noah Clowney,23.0,5.782608695652174,3.5217391304347827,0.782608695652174,0.34782608695652173,0.6521739130434783,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Olivier-Maxence Prosper,40.0,3.025,1.975,0.55,0.175,0.2,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Scoot Henderson,62.0,14.0,3.129032258064516,5.419354838709677,0.7741935483870968,3.4193548387096775,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Taylor Hendricks,40.0,7.3,4.625,0.8,0.7,0.675,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Victor Wembanyama,71.0,21.43661971830986,10.633802816901408,3.859154929577465,1.2394366197183098,3.6619718309859155,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
